"distance","spectrumID","i"
0.0164352891214513,"spec-6713-56402-0294.fits",448
0.0183169901383321,"spec-5436-56015-0440.fits",589
0.0183605058503771,"spec-6489-56329-0866.fits",1768
0.0183784551257321,"spec-6303-56539-0090.fits",991
0.0184027089479786,"spec-6452-56366-0270.fits",185
0.0184085272790275,"spec-6052-56092-0294.fits",1257
0.0184113191338176,"spec-5302-55896-0513.fits",366
0.0187567924741296,"spec-4058-55358-0100.fits",1126
0.0187935795795136,"spec-4690-55653-0140.fits",2354
0.018884066948762,"spec-5783-56017-0903.fits",1526
0.0188853880004982,"spec-3804-55267-0936.fits",29
0.0190023486157277,"spec-6184-56267-0854.fits",754
0.0190876604893618,"spec-3679-55209-0232.fits",72
0.0190934933070428,"spec-5172-56071-0705.fits",1080
0.0191916850566231,"spec-4221-55443-0556.fits",1164
0.0192437605597862,"spec-4783-55652-0180.fits",176
0.0192663606382772,"spec-3866-55623-0134.fits",356
0.0192937850669422,"spec-5461-56018-0838.fits",535
0.0193453936421789,"spec-4837-55707-0560.fits",878
0.0193822634536209,"spec-5320-55999-0680.fits",856
0.0194888121989005,"spec-6673-56419-0318.fits",359
0.0195784219072215,"spec-4452-55536-0019.fits",405
0.0196302488876432,"spec-5768-56017-0792.fits",1145
0.0196629729918374,"spec-4766-55677-0472.fits",757
0.0196923491656789,"spec-4211-55446-0538.fits",1440
0.0197010631644488,"spec-5361-55973-0680.fits",175
0.0197026968309039,"spec-3757-55508-0408.fits",399
0.0197254634015832,"spec-6164-56181-0678.fits",149
0.0197270692800033,"spec-4375-55889-0334.fits",980
0.0197411939294804,"spec-3586-55181-0634.fits",1186
0.0197450890545384,"spec-6411-56331-0302.fits",682
0.0197521382486552,"spec-4227-55481-0937.fits",220
0.0197685816241541,"spec-6873-56541-0624.fits",354
0.0197712242825019,"spec-6055-56102-0884.fits",1166
0.0197800204920384,"spec-6838-56429-0064.fits",462
0.0197854428652613,"spec-4860-55691-0180.fits",2071
0.0197894997917528,"spec-4979-56045-0796.fits",238
0.0198018078209376,"spec-5771-56011-0362.fits",1193
0.0198061158492897,"spec-4227-55481-0027.fits",690
0.0198100124281737,"spec-4834-55685-0798.fits",729
0.019846786235702,"spec-7257-56658-0345.fits",64
0.0198624165609322,"spec-6663-56338-0946.fits",896
0.019888837783337,"spec-7081-56684-0350.fits",980
0.019889567013925,"spec-6664-56383-0936.fits",386
0.0199400804353139,"spec-4889-55709-0922.fits",858
0.0199603463518344,"spec-4538-55860-0742.fits",1139
0.0199654656552905,"spec-3769-55240-0558.fits",1103
0.0199778002533415,"spec-5165-56063-0877.fits",1086
0.0199851581000102,"spec-5368-56001-0828.fits",296
0.0199860128995467,"spec-4242-55476-0852.fits",1807
0.0199953143318069,"spec-3793-55214-0542.fits",104
0.0200653733566122,"spec-5418-56037-0940.fits",1070
0.0200939443210425,"spec-6720-56390-0594.fits",277
0.0201199523574744,"spec-5306-55926-0962.fits",541
0.0201323739157923,"spec-4444-55538-0900.fits",256
0.0201337290441841,"spec-6836-56443-0752.fits",337
0.0201480796939184,"spec-5475-56011-0394.fits",252
0.0201586537404588,"spec-5164-56067-0894.fits",1899
0.0201858231575446,"spec-7400-57134-0696.fits",666
0.0202180813131293,"spec-3825-55533-0358.fits",172
0.0202469762087417,"spec-4192-55469-0350.fits",750
0.0202494962722299,"spec-4839-55703-0086.fits",1111
0.0202523284077853,"spec-7325-56717-0292.fits",344
0.0202592696663926,"spec-5420-56009-0709.fits",1038
0.0202747636643238,"spec-4864-55680-0360.fits",454
0.0202794592844692,"spec-6409-56306-0204.fits",443
0.0202848016923947,"spec-7256-56658-0397.fits",666
0.0202978331708135,"spec-5407-55926-0447.fits",766
0.0203090704761913,"spec-6049-56091-0184.fits",206
0.020309123944121,"spec-5481-55983-0452.fits",894
0.0203110810958725,"spec-5957-56210-0880.fits",513
0.0203115598407689,"spec-6665-56390-0442.fits",871
0.0203147139672835,"spec-7421-57159-0614.fits",1044
0.0203197093323602,"spec-7254-56625-0443.fits",69
0.0203323788571816,"spec-5772-56003-0842.fits",1323
0.0203363733450613,"spec-4006-55328-0784.fits",1136
0.0203409326567399,"spec-7449-56740-0158.fits",926
0.0203494621224057,"spec-6446-56363-0156.fits",653
0.0203510526965219,"spec-6746-56386-0120.fits",201
0.0203597887124973,"spec-7253-56598-0446.fits",70
0.0203714480027005,"spec-6014-56072-0776.fits",563
0.020372644303564,"spec-7155-56629-0104.fits",1563
0.0203831266350032,"spec-6795-56425-0654.fits",758
0.020399261347134,"spec-5985-56089-0260.fits",1037
0.0204001771040444,"spec-6821-56396-0100.fits",248
0.020431693509724,"spec-6783-56284-0978.fits",60
0.0204382566127758,"spec-5466-56033-0088.fits",834
0.0204384139289213,"spec-4238-55455-0010.fits",224
0.0204446637201204,"spec-6470-56334-0318.fits",604
0.0204513678913529,"spec-7254-56625-0488.fits",69
0.0204593016210384,"spec-3942-55338-0411.fits",307
0.0204623754020933,"spec-7101-56659-0122.fits",165
0.0204663888695672,"spec-7253-56598-0287.fits",71
0.0204687420344553,"spec-4226-55475-0663.fits",799
0.0204691587882984,"spec-7254-56625-0409.fits",69
0.0204768437342801,"spec-5477-56030-0974.fits",1432
0.0204779142126373,"spec-7151-56598-0796.fits",356
0.020484465422714,"spec-5370-56003-0434.fits",352
0.0204876493255568,"spec-5776-56010-0334.fits",451
0.0204933348648122,"spec-6388-56309-0582.fits",2327
